,name,url,category,thc,cbd,rating,flavor&aroms,Top effect,description,feelings,negatives,flavors,help with
0,Wedding Cake,https://leafly-public.s3-us-west-2.amazonaws.com/strains/photos/m2y50HYRBu0dHY4JSdSx_wedding-cake_jman.jpg,Hybrid,24.0,0.0,4.564500484966052,vanilla,relaxed,"Wedding Cake, also known as ""Triangle Mints #23,"" is a potent type of indica-hybrid marijuana strain made by crossing Triangle Kush with Animal Mints. Fun fact: In Canada, this strain is known as Pink Cookies. The Wedding Cake strain provides relaxing and euphoric effects that calm the body and mind. This strain yields a rich and tangy flavor profile with undertones of earthy pepper. Medical marijuana patients choose Wedding Cake to help relieve symptoms associated with pain, insomnia and appetite loss. Consumers with a low THC tolerance should enjoy this strain with an extra slice of care due to its high THC content. Wedding Cake has soared in popularity over the years and was named Leafly Strain of the Year in 2019.
Wedding Cake growing info
Wedding Cake is a popular strain choice for both intermediate and advanced growers. This strain can be grown indoors and outdoors. You can expect a flowering time of 7-9 weeks. When grown outside, Wedding Cake will finish between September through October. This strain offers an average yield.","relaxed,hungry,aroused","dizzy,anxious,paranoid","vanilla,pepper,sweet","Anxiety
22% of people say it helps with anxiety
Stress
21% of people say it helps with stress
Depression
17% of people say it helps with depression"
1,GG4,https://s3-us-west-2.amazonaws.com/leafly-images/flower-images/gg-4.jpg,Hybrid,20.0,0.0,4.639807576668671,pungent,relaxed,"Original Glue, also known as ""Gorilla Glue,"" ""Original Glue,"" ""GG4,"" and ""Gorilla Glue #4"" is a potent hybrid marijuana strain that delivers heavy-handed euphoria and relaxation, leaving you feeling “glued” to the couch. Gorilla Glue's chunky, resin-covered buds fill the room with pungent earthy and sour aromas inherited from its parent strains, Chem’s Sister, Sour Dubb, and Chocolate Diesel. Taking first place in both the Michigan and Los Angeles 2014 Cannabis Cups as well as the High Times Jamaican World Cup, this multiple award-winning strain's supremacy is no longer a secret, and consumers will search far and wide to get their hands sticky with Original Glue (GG4).","relaxed,sleepy,hungry","dry mouth,paranoid,dry eyes","pungent,pine,earthy","Stress
31% of people say it helps with stress
Anxiety
25% of people say it helps with anxiety
Pain
25% of people say it helps with pain"
2,Runtz,https://s3-us-west-2.amazonaws.com/leafly-images/flower-images/runtz-nug-image.jpg,Hybrid,20.0,0.0,4.557046979865772,sweet,talkative,"Runtz, also known as ""Runtz OG,"" is a rare type of  hybrid marijuana strain. Runtz is made by Cookies Fam by crossing  Zkittlez with Gelato and it is loved for its incredibly fruity flavor profile that smells just like a bag of the sugary candy we all know and love. Because of the rising popularity of this cannabis strain, it's no surprise Runtz was named Leafly Strain of the Year in 2020. Growers say this strain has resin-drenched buds that range in color from rich purple to lime green. Runtz is celebrated for its creamy smoke that is smooth and welcoming. This strain of weed produces euphoric highs and uplifting effects that are known to be long-lasting.
Runtz growing info
Runtz is a popular strain choice for both intermediate and advanced growers. This strain can be grown indoors and outdoors. You can expect a flowering time of 63 days or 7-9 weeks. When grown outside, Runtz will finish in mid-October. This strain offers a smaller than average yield.","talkative,happy,giggly","headache,anxious,dizzy","sweet,tree fruit,berry","Anxiety
17% of people say it helps with anxiety
Stress
13% of people say it helps with stress
Depression
12% of people say it helps with depression"
3,Ice Cream Cake,https://images.leafly.com/flower-images/defaults/purple/strain-19.png,Indica,23.0,0.0,4.618434093161546,vanilla,sleepy,"Ice Cream Cake is an indica marijuana strain made by crossing Wedding Cake with Gelato #33. This strain offers sedating effects that leave your mind and body completely relaxed. Ice Cream Cake features a creamy flavor profile with sweet hints of vanilla and sugary dough. This strain is reported by medical marijuana patients and consumers to have calming effects that help with pain, sleep, and anxiety. Ice Cream Cake weed is ideal for night time use when you have nothing important to do except watch TV and fall asleep. Growers say this strain has light green and purple buds that are completely flushed with icy trichomes. 
Ice Cream Cake Growing Info
Ice Cream Cake is a popular strain choice for both intermediate and advanced growers. This strain can be grown indoors and outdoors. You can expect a flowering time of 8-9 weeks. Ice Cream Cake weed offers a large yield and tends to grow medium-tall.","sleepy,relaxed,hungry","headache,dizzy,anxious","vanilla,butter,sweet","Anxiety
25% of people say it helps with anxiety
Stress
19% of people say it helps with stress
Pain
16% of people say it helps with pain"
4,Gelato,https://s3-us-west-2.amazonaws.com/leafly-images/flower-images/gelato.jpg,Hybrid,16.0,0.0,4.600363306085377,sweet,euphoric,"Gelato, also known as ""Larry Bird"" and ""Gelato #42"" is an evenly-balanced hybrid marijuana strain made from a crossing of Sunset Sherbet and Thin Mint Girl Scout Cookies. With its balance of indica & sativa, this strain produces a euphoric high accompanied by strong feelings of relaxation. Consumers who have smoked Gelato say the effects of the strain come on quickly. You'll be left feeling numb to pain, relaxed, but mentally stimulated and productive. As far as potency goes, Gelato boasts a THC level of 17%, making it an ideal choice for medical marijuana patients seeking relief for pain, fatigue, and insomnia. Novice consumers may want to approach this THC powerhouse with caution, but those armed with a high THC tolerance will delight in the heavy-handed effects this strain offers. In terms of taste, Gelato is sweet and features fruity and creamy flavors and aromas. According to growers, this strain produces buds that bloom in dark purple hues and are illuminated by fiery orange hairs and a shiny white coating of crystal resin. The average price per gram of Gelato is $12. Because Gelato has reached a ledgandery status among cannabis connoisseurs, it comes as no surprise it's been used to make a variety of other high-quality Gelato strains, including Gelato #3, Gelato #33, Gelato #41, and Gelato #45.","euphoric,aroused,happy","dry mouth,paranoid,dry eyes","sweet,vanilla,mint","Stress
26% of people say it helps with stress
Anxiety
25% of people say it helps with anxiety
Depression
23% of people say it helps with depression"
5,Blue Dream,https://s3-us-west-2.amazonaws.com/leafly-images/flower-images/blue-dream.png,Hybrid,18.0,0.0,4.33050252667041,blueberry,creative,"Updated February 2022
Blue Dream is a sativa-dominant hybrid marijuana strain made by crossing Blueberry with Haze. This strain produces a balanced high, along with effects such as cerebral stimulation and full-body relaxation. Blue dream is 18% THC but has a low CBD percentage, making this potent strain a fan favorite of both novice and veteran cannabis consumers. In terms of flavor, Blue Dream is reported to smell and taste like sweet berries. Medical marijuana patients often use Blue Dream to treat symptoms of depression, chronic pain, and nausea. According to home grow enthusiasts, this strain has an average flowering time of 67 days and is best suited to grow using the Sea of Green method. Blue Dream originated in California and has since achieved legendary status among West Coast strains and has quickly become one of the most-searched-for strains in the Leafly database. The average price per gram of Blue Dream is $20. Strains similar to Blue Dream include Blue Dream CBD, Double Dream, and Blue Magoo.","creative,uplifted,energetic","dry mouth,paranoid,dry eyes","blueberry,berry,sweet","Stress
37% of people say it helps with stress
Anxiety
30% of people say it helps with anxiety
Depression
28% of people say it helps with depression"
6,Sour Diesel,https://leafly-public.s3-us-west-2.amazonaws.com/strains/photos/5SPDG4T4TcSO8PgLgWHO_SourDiesel_AdobeStock_171888473.jpg,Sativa,19.0,0.0,4.325770444066974,diesel,energetic,"Sour Diesel, also known as ""Sour D"" and ""Sour Deez,"" is a popular sativa marijuana strain made by crossing Chemdawg and Super Skunk. Sour Diesel effects are dreamy, cerebral, fast-acting and energizing. This strain features a pungent flavor profile that smells like diesel. Medical marijuana patients choose Sour Diesel to help relieve symptoms associated with depression, pain, and stress. Growers say this strain grows best in a dry, outdoor climate and has a flowering time of 77 days. Fun fact: Sour Diesel first became popular in the early 1990s and has been legendary ever since.","energetic,talkative,creative","paranoid,dry mouth,dry eyes","diesel,pungent,skunk","Stress
36% of people say it helps with stress
Depression
28% of people say it helps with depression
Anxiety
27% of people say it helps with anxiety"
7,Dosidos,https://leafly-public.s3-us-west-2.amazonaws.com/jdRI25LqQM6Wavphys2K_nug-dosidos-v1.jpg,Hybrid,20.0,0.0,4.646559849198869,flowery,sleepy,"Dosidos strain info
Dosidos, also known as ""Dosi Doe,"" ""Do-Si-Dos,"" and ""Dosi"" is an indica-dominant hybrid marijuana strain with qualities similar to its parent, OGKB, a GSC-phenotype. With glittering trichomes, bright pistils, and lime green and lavender leaves, Dosidos weed is a feast for the eyes. Its aroma is pungent, sweet, and earthy with slight floral funkiness. These classic OG aromas blend nicely with medical-grade body effects that lean toward the sedative side with the addition of Face Off OG genetics. Those who smoke Dosi can enjoy a stoney, in-your-face buzz off the start that melts down over the body, prettifying the consumer with relaxation that emanates outward. The dominant terpene in Dosidos is limonene.
Dosidos growing info
Dosidos is a popular strain choice for both intermediate and advanced growers. This strain can be grown indoors or outdoors. You can expect an average flowering time of 63 days. Dosidos has a medium to heavy yield ranging 500-900 grams and tends to grow average height indoors, but can grow tall outside. Dosidos will finish in September through October. Dosidos can be grown in traditional soil or through hydroponics.","sleepy,relaxed,hungry","dizzy,dry eyes,paranoid","flowery,pepper,pungent","Anxiety
27% of people say it helps with anxiety
Stress
27% of people say it helps with stress
Pain
20% of people say it helps with pain"
8,Apple Fritter,https://leafly-public.s3-us-west-2.amazonaws.com/strains/photos/FnVAVA3BSMRyLhalOs65_Apple%20Fritter%20by%20David%20Downs%20(David%20Downs:Leafly)%20for%20web.jpeg,Hybrid,25.0,0.0,4.484662576687117,apple,relaxed,"Apple Fritter, a true hybrid weed strain, is known for its powerful and relaxing high. Put out by Lumpy’s Flowers, the Apple Fritter marijuana strain is a reported cross of Sour Apple and Animal Cookies. It's a great hybrid, combining the stone of GSC with the energy of a diesel. Apple Fritter cannabis has a flavor and aroma that come off as sweet and earthy, with a light, cheesy, apple pastry influence.","relaxed,tingly,giggly","dizzy,anxious,headache","apple,cheese,butter","Anxiety
16% of people say it helps with anxiety
Stress
13% of people say it helps with stress
Depression
9% of people say it helps with depression"
9,GSC,https://s3-us-west-2.amazonaws.com/leafly-images/flower-images/gsc.png,Hybrid,19.0,0.0,4.427605786129512,mint,hungry,"GSC, also known as ""Girl Scout Cookies,"" is an indica-dominant hybrid marijuana strain made by crossing OG Kush with Durban Poison. This popular strain is known for producing euphoric effects, followed up by waves of full-body relaxation. One hit of GSC will leave you feeling happy, hungry, and stress-free. This strain features a robust THC level of 19% and is best reserved for experienced cannabis consumers. Those with a low THC tolerance should take it slow with GSC as the effects of the strain may be overwhelming. The high THC content in GSC is beloved by medical marijuana patients looking for quick relief from symptoms associated with chronic pain, nausea, and appetite loss. GSC is famous for its pungent, dessert-like aroma & flavor profile featuring bold notes of mint, sweet cherry, and lemon. The average price per gram of GSC is $11. According to growers, this strain flowers into green and purple buds with fiery orange hairs. GSC has an average flowering time of 9-10 weeks and is a fan favorite of home grow enthusiasts. This strain has won numerous accolades and awards over the years, including a few Cannabis Cups. Because GSC has reached legendary status among the cannabis community at large, you can find many variations of this sought-after strain, including Thin Mint (aka Thin Mint Girl Scout Cookies) and Platinum GSC (aka Platinum Girl Scout Cookies).","hungry,giggly,happy","dry mouth,dry eyes,paranoid","mint,sweet,vanilla","Stress
36% of people say it helps with stress
Depression
28% of people say it helps with depression
Anxiety
27% of people say it helps with anxiety"
